team,avg_lap_time,latitude,longitude,circuitType,precipitation,windspeed,temp,race_condition
Mercedes,111.0368125,-37.8497,144.968,Street circuit,0.02,6.5,63.5,Damp
Williams,111.787,-37.8497,144.968,Street circuit,0.02,6.5,63.5,Damp
Ferrari,112.35093749999999,-37.8497,144.968,Street circuit,0.02,6.5,63.5,Damp
Toro Rosso,113.1101875,-37.8497,144.968,Street circuit,0.02,6.5,63.5,Damp
Sauber,114.34493333333333,-37.8497,144.968,Street circuit,0.02,6.5,63.5,Damp
Red Bull,112.74299999999998,-37.8497,144.968,Street circuit,0.02,6.5,63.5,Damp
Force India,116.69050000000003,-37.8497,144.968,Street circuit,0.02,6.5,63.5,Damp
McLaren,116.83371428571431,-37.8497,144.968,Street circuit,0.02,6.5,63.5,Damp
Mercedes,126.43154545454544,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Ferrari,129.50445454545454,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Red Bull,126.92554545454549,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Williams,125.87809999999999,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Force India,127.1965,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Sauber,123.93662499999999,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Toro Rosso,127.01918181818179,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Lotus F1,131.71936363636362,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
McLaren,129.4725,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Manor Marussia,126.444,2.76083,101.738,Race circuit,0.039,5.6,83.7,Wet
Mercedes,104.7373,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Ferrari,105.44799999999998,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Williams,106.0923,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Lotus F1,106.7827,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Sauber,107.24070000000002,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Toro Rosso,109.1867,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Force India,108.36889999999998,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Red Bull,109.17,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
McLaren,109.43229999999998,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Manor Marussia,111.2933,31.3389,121.22,Race circuit,0.0,7.4,57.6,Dry
Mercedes,100.1955,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Ferrari,100.55575,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Williams,102.35299999999998,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Red Bull,102.94559999999998,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Lotus F1,102.9896,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Force India,102.68379999999999,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Sauber,102.84939999999999,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Toro Rosso,103.39750000000001,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
McLaren,103.3844,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Manor Marussia,106.2252,26.0325,50.5106,Race circuit,0.0,19.2,76.3,Dry
Mercedes,93.1606,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Ferrari,93.97740000000002,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Williams,94.8017,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Toro Rosso,96.2311,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Lotus F1,96.53099999999999,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Red Bull,96.9817,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
McLaren,97.5901,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Sauber,97.5282,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Force India,97.7781,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Manor Marussia,99.50240000000001,41.57,2.26111,Race circuit,0.0,5.1,71.1,Dry
Mercedes,81.92410000000001,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Ferrari,83.0934,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Red Bull,83.11370000000001,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Force India,89.1501,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Lotus F1,85.7224,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Toro Rosso,86.0412,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
McLaren,85.55250000000001,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Sauber,86.2339,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Williams,95.11670000000001,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Manor Marussia,88.24949999999998,43.7347,7.42056,Street circuit,0.0,3.8,59.5,Dry
Mercedes,80.60900000000001,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Ferrari,82.45410000000001,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Williams,82.6081,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Lotus F1,82.11359999999999,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Force India,82.77289999999999,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Red Bull,82.9537,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
McLaren,85.862,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Sauber,84.23599999999999,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Toro Rosso,84.53380000000001,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Manor Marussia,86.1863,45.5,-73.5228,Street circuit,0.0,4.0,59.2,Dry
Mercedes,116.31708333333331,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
Ferrari,116.47716666666668,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
Williams,116.63425,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
